GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
microservice,com.telstra.codechallenge.quotes,SpringBootQuotesService,40,0,0,0,5,0,3,0,3,0
microservice,com.telstra.codechallenge.quotes,SpringBootQuotesController,15,0,0,0,5,0,3,0,3,0
microservice,com.telstra.codechallenge.helloworld,HelloWorldController,23,0,0,0,3,0,2,0,2,0
microservice,com.telstra.codechallenge.helloworld,HelloWorld,15,0,0,0,6,0,3,0,3,0
microservice,com.telstra.codechallenge.config,GithubConfig,38,0,0,0,10,0,3,0,3,0
microservice,com.telstra.codechallenge.service.github,GithubService,84,0,0,0,14,0,3,0,3,0
microservice,com.telstra.codechallenge.controller.github,GithubErrorController,3,0,0,0,1,0,1,0,1,0
microservice,com.telstra.codechallenge.controller.github,GithubController,77,0,0,0,17,0,5,0,5,0
microservice,com.telstra.codechallenge.models.github,GithubException,7,0,0,0,4,0,2,0,2,0
microservice,com.telstra.codechallenge.exception,GithubExceptionHandler,22,0,2,0,5,0,4,0,3,0
microservice,com.telstra.codechallenge,MicroServiceMain,8,0,0,0,3,0,2,0,2,0
microservice,com.telstra.codechallenge,SecurityConfiguration,16,0,0,0,3,0,2,0,2,0
microservice,com.telstra.codechallenge.util,DateUtil,21,0,0,0,5,0,2,0,2,0
